SAMPN,VEHNO,YEAR,MAKE,MKOTH,MODEL,TYPE,TYPEO,VHOWN,VHONO,REGION,DVRPC
1005276,2,1988,13,,MOTORCYCLE,8,,1,,1,1
1005276,3,1993,9,,TAURUS,1,,1,,1,1
1005276,4,1997,6,,ASTROVAN,3,,1,,1,1
1005283,1,1997,1,,TL,1,,1,,1,1
1005283,2,1988,29,,SUNDANCE,2,,1,,1,1
1005305,1,1998,8,,SPORT 4 WHEEL DR.,7,,1,,1,1
1005305,2,1998,8,,INTREPID,1,,1,,1,1
1005310,1,1997,38,,CABRIOLET,1,,1,,1,1
1005310,2,1995,10,,METRO,1,,1,,1,1
1005310,3,1987,9,,TEMPO,1,,1,,1,1
1005526,1,1996,13,,ACCORD,1,,1,,1,1
1005529,1,1996,1,,INTEGRA,1,,1,,1,1
1005529,2,1998,9,,MUSTANG,1,,1,,1,1
1005552,1,1996,10,,PRIZM,1,,1,,1,1
1005552,2,1997,10,,PRIZM,1,,1,,1,1
1005575,1,1991,1,,LEGEND,2,,1,,1,1
1005575,2,1998,13,,ACCORD,2,,1,,1,1
1005579,1,1999,13,,ODYSSEY,3,,1,,1,1
1005579,2,1993,28,,ACHIEVA,2,,1,,1,1
1005595,1,1997,8,,CARAVAN,3,,1,,1,1
1005595,2,1993,29,,VOYAGER,3,,1,,1,1
1005599,1,1992,9,,TEMPO,1,,1,,1,1
1005599,2,1988,29,,HORIZON,1,,1,,1,1
1005602,1,1997,4,,LESABRE,1,,1,,1,1
1005602,2,1993,9,,TAURUS,6,,1,,1,1
1005602,3,1993,6,,CORSICA,1,,1,,1,1
1005640,1,1999,28,,INTRIGUE,1,,1,,1,1
1005640,2,1997,24,,SABLE,1,,1,,1,1
1005653,1,1990,9,,THUNDERBIRD,1,,1,,1,1
1005653,2,1986,8,,CARAVAN,5,,1,,1,1
1005666,1,1996,7,,TOWN & COUNTRY,1,,1,,1,1
1005666,2,1998,4,,CENTURY,1,,1,,1,1
1005673,1,1985,6,,MALIBU,1,,1,,1,1
1005673,2,1989,11,,SONOMA,7,,1,,1,1
1005673,3,1992,6,,S 10,7,,1,,1,1
