SAMPN,PERNO,GEND,AGE,LIC,RESP,RELAT,DISAB,DISTY1,DISTY2,DABLO,EDUC,LEVEL,S_LOC,SHOME,SDAY,SMODE1,SMODE2,SMODE3,SMOO,SCOST,SUNIT,EMPL,NOJOB,NMJOB,ETYPE,ETYPO,W1IND,W1INO,W1OCC,W1OCO,W1TIM,W1DAY,W1HOM,W1HMO,W1CPR,W1CPT,W1CPO,W1WKE,W1WKD1,W1WKD2,W1WKD3,W1WKD4,O_W1WKD,W1TYP,W1LOC,W1MOD1,W1MOD2,W1MOD3,W1MOO,W1NDV,W1CPK,W1CPU,W1EPK,W1PKL,W1PKLO,W1WLK,TRNST,VTRAN,TRNCT,TRNCU,SCHED,WSTIM,WETIM,SETIM,VSTIM,VSTMO,VETIM,VETMO,W2TY,W2TYO,W2TYP,W2LOC,W2IND,W2INO,W2OCC,W2OCO,W2DAY,W2HOM,W2HOO,W2ST,W2ET,HMALL,PNMPL,NTRIPS,DIARY,PROXY,HBW,HBO,NHB,MOTTRIP,NOMOTTRP,CPA,FIPS,REGION,DVRPC
1000392,1,1,78,2,1,1,1,1,,,2,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,1,0,0,2,0,2,0,58,34005,2,1
1000461,1,2,55,1,1,1,2,,,,2,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,6,2,0,0,4,2,6,0,58,34005,2,1
1000461,2,1,47,1,2,2,2,,,,2,,,,,,,,,,,1,,2,1,,32,,2,,3,5,0,,2,,,1,1,2,,,,2,64,21,,,,2,0.00,,2,1,,2,2,,,,2,700,1530,1,,,,,,,,,,,,,,,,,,2,3,2,1,0,0,2,0,2,0,58,34005,2,1
1000461,3,2,80,1,2,4,2,,,,2,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,58,34005,2,1
1000465,1,2,40,1,1,1,2,,,,2,,,,,,,,,,,1,,2,1,,48,,5,,2,5,0,,2,,,0,,,,,,2,203,21,,,,2,0.00,,2,1,,2,2,,,,1,900,2100,2,3,,5,,,,,,,,,,,,,,,2,5,4,1,0,2,2,0,4,0,58,34005,2,1
1000465,2,1,40,1,2,2,2,,,,2,,,,,,,,,,,1,,2,2,,97,HOUSING INSPECTOR,11,,2,5,0,,2,,,0,,,,,,2,204,21,,,,1,0.00,,2,1,,3,2,,,,1,900,2100,1,,,,,,,,,,,,,,,,,,2,7,6,1,1,3,1,2,6,0,58,34005,2,1
1000465,3,1,12,,2,3,2,,,,1,3,148,2,5,42,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,4,1,1,0,4,0,4,0,58,34005,2,1
1000468,1,2,19,1,1,1,2,,,,2,,,,,,,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,7,2,0,0,2,5,7,0,58,34005,2,1
1000468,2,2,25,1,2,5,2,,,,2,,,,,,,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,2,1,0,0,0,0,0,58,34005,2,1
1000468,3,1,51,1,2,4,2,,,,2,,,,,,,,,,,1,,2,3,,52,,4,,3,5,0,,2,,,2,2,4,,,,2,104,21,,,,1,0.00,,2,1,,0,1,2,,,1,900,1800,2,5,,5,,,,,,,,,,,,,,,1,1,0,2,1,0,0,0,0,0,58,34005,2,1
