CHESCO,X,Y,SLOPE,FOURLNE300,INTERST800,REGRAIL300,RAILSTN100,PARKS500M,WATER100,CITBORO_10,DIST_WATER,DIST_RAILS,DIST_REGRA,DIST_PASSR,DIST_4LNE_,DIST_INTER,DIST_PARKS,PAL_WETLND,FARM92,PASTURE92,FOREST92,URBAN01,URBAN92,POPDEN90,MEDINC90,MEDHSEVAL_,PCT_WHITE_,PCT_SFHOME,PCT_POV_90,PCT_HSB_19,PCT_COLGRD
1,1612501.431,211678.490,2.632,1,0,0,0,0,0,0,2000.03,20718.67,19981.55,5000.08,1581.16,13865.64,1802.80,0,0,1,0,0,0,185,47500,149100,98,86,3,19,3
1,1613001.439,211678.490,1.856,1,0,0,0,0,0,0,2000.03,20555.12,19723.39,4500.07,1500.02,14089.22,1581.16,1,0,1,0,0,0,227,47500,142400,98,86,3,19,3
1,1613501.446,211678.490,1.651,1,0,0,0,0,0,0,1802.80,20402.52,19474.64,4000.06,1500.02,14326.77,1500.02,0,0,1,0,0,0,151,47500,142400,100,86,1,19,1
1,1614001.454,211678.490,1.031,1,0,0,0,0,0,0,1581.16,20261.11,19235.68,3500.05,1500.02,14577.60,1581.16,0,0,0,0,0,0,258,43396,142400,100,84,1,25,1
1,1614501.462,211678.490,0.712,1,0,0,0,0,0,0,1500.02,20131.13,19006.87,3000.05,1581.16,14841.05,1802.80,0,0,1,0,0,0,258,43396,142400,100,84,1,25,1
1,1615001.470,211678.490,0.696,1,0,0,0,0,0,0,1500.02,20012.80,18788.58,2500.04,1802.80,15000.23,2121.35,0,0,1,0,0,0,104,43396,142400,100,84,1,25,1
1,1615501.477,211678.490,0.318,1,0,0,0,0,0,0,1500.02,19906.34,18581.19,2000.03,2121.35,14705.67,2500.04,0,0,1,0,0,0,104,43396,142400,100,84,1,25,1
1,1616001.485,211678.490,0.686,1,0,0,0,0,0,0,1581.16,19704.36,18385.06,1500.02,2500.04,14422.43,2915.52,0,0,1,0,0,0,104,43396,142400,100,84,1,25,1
1,1616501.493,211678.490,0.721,1,0,0,0,0,0,0,1118.05,19416.79,18200.55,1000.02,2915.52,14151.19,3354.15,0,0,1,0,0,0,444,43396,142400,100,84,1,25,1
1,1617001.500,211678.490,2.043,0,0,0,0,0,0,0,707.12,19137.95,18028.03,500.01,3354.15,13892.66,3807.95,0,0,1,0,0,0,167,43396,142400,100,84,1,25,1
